56.1884059157835,9.376595774641615;Primitiv overnatningsplads syd for Engesvangsvej nær Hærvejen.;På pladsen er der shelter, grillsted, bord bænkesæt samt muldtoilet. Shelteren kan bookes.
56.17804021372233,9.345518290793644;Bølling Sø, Primitiv overnatningsplads ved Dværgebakke;Primitiv overnatningsplads ved vestenden af Bølling Sø\nOvernatningssted med bål- og grillplads samt bordebænkesæt.\nAfstand til p-plads, toilet og informationspavillon ca. 200m.\nDenne lokalitet kan ikke bookes.
56.21959973649292,9.327073531892738;Primitiv overnatningsplads ved Christianshøj;Primitiv overnatningsplads på Hærvejen.\nPrimitiv overnatningsplads på Hærvejsvandreruten. Pladsen ligger i udkanten af et kommunalt ejet skovområde.\nPladsen er forsynet med shelter, bålsted, drikkevand året rundt fra frostfri hane samt multtoilet.\nDer er også mulighed for at slå et mindre antal telte op på pladsen.\nPladsen kan ikke bookes.
56.24338004716537,9.300032540694387;Shelterplads - Grathe Hede (2 shelters);Shelterplads i Kompedal Plantage med panoramaudsigt over Grathe Hede\nShelterpladsen ligger i den østlige del af Kompedal Plantage, nordøst for Grathe Hede og kun 30 meter fra Hærvejen. Ankommer man i bil er der P-plads ved Kompedallejren. Herfra er der 2,1 kilometers gang til shelterpladsen.\nPladsen har to shelters, hver med plads til ca. seks personer. Her på siden kan du booke "shelter 1."\nDer er bålsted, bordbænkesæt og skovlokum.\nDer er ikke drikkevand på pladsen.\nI øvrigt er der fri teltning i hele Kompedal Plantage.\nDer må sankes i skovbunden, men vil du være sikker på at have et lille bål, så tag lidt brænde med selv. Husk at rydde op efter dig.
56.26561254583507,9.25124849141636;Primitiv overnatningsplads med shelter ved Urhanevej i Kompedal Plantage;Lille lejrplads nær Kompedalen i Kompedal Plantage\nPladsen ligger nær Urhanevej umiddelbart vest for Sangildhus. Her er en enkelt shelter med plads til ca. seks personer. Der er bålsted, bordbænkesæt og skovlokum.\nShelteren kan ikke bookes, men indtages efter ”først til mølle” princippet. Der er også plads til et par telte på pladsen.\nDer må sankes i skovbunden, men vil du være sikker på at have et lille bål, så tag lidt brænde med selv. Husk at rydde op efter dig.
56.31824723476445,9.302321266021494;Lejrplads Stendal Plantage - 4 shelters;Stendal Plantage ligger i et kuperet terræn i et område, hvor den jyske højderyg flader ud mod den tidligere Alhede. Pladsen er omkranset af skov.\nSe også vandretursfolderen for Alhedens Plantager, som Stendal Plantage er en del af:\nhttp://www.skovognatur.dk/Udgivelser/Vandretursfoldere/atilaa/Alheden.htm\nVejforklaring:\nPladsen ligger ved Jagtjunkervej ca. 500 m vest for den gamle skovridergård Stendalgård.\nDer er P-pladser ved indgangene til skoven henholdsvis syd (Stendalvej) og øst (Papsøvej) for Stendalgård.\nShelteren er en ud af 4 bookbare shelters på pladsen.\nI den østlige del af pladsen ligger desuden en ikke-bookbar shelter.\nDer er vand, madpakkehus med grill, bålsted, multtoilet med pusleplads, borde/bænkesæt og hesteindhegning på pladsen.\n
56.28328622013359,9.339165928905716;Thorning;Pladsen ligger tæt på byen (200 m) og er det nederste af Kauergaards store have med gamle flotte bøgetræer. Har modtaget Agro- arkitekturprisen 1999. Flot landsbykirke og Blicher-egnens museum i Thorning (300 m). 400 m til indkøb. - Gården ligger i Thornings sydøstlige udkant. Der er skilt til pladsen ved gennemgående gade i landsbyen lige efter kirken - drej th. mod hallen. Kauergaard, Thorning, 8620 Kjellerup.
56.27867187384429,9.335609797701633;Thorning Shelterplads;Shelterområde ved spejderhytte med 5 shelter, bålhytte med hems, muldtoilet og vand.\nShelterne i Thorning er beliggende ved Thorning Spejdernes område. De ligger i naturskønt område, tæt ved troldmosen og byen. Her er både pizzaria og købmand.\nDer er mulighed for at kører til pladsen og parkere tæt ved.\nAlle shelter ligger på plateauer. De to af dem ligger på samme plateau. De 4 af shelterne er store med udtræksborde og den sidste er lille.\nVed hver shelter er der et lille bålsted med rist.\nPå området findes et amfibieteater med bålplads, bålhytte med hems, flere bordbænke, muldtoilet og vand samt brænde.\n \nPris 30 kr. pr.nat, dog børn under 12 år gratis. Betales via mobilpay, når i ankommer.\n \nDer kan bookes plads, dette er dog ikke nødvendig, man kan også tage chancen. Email til booking Shelter.thorningspejderne@gmail.com\nAdressen er Møllevej 36,8620 Kjellerup.
56.37621850062483,9.339832352128981;Lille Lejrplads Hald Sø;Lille lejrplads i Inderø Skov ved Hald Sø\nEn lejrplads for den lille gruppe. Fra pladsen er der udsigt ned over Hald Sø mellem de store bøgetræer. Nærmeste drikkevandspost ved Dollerup Iskiosk, her er ligeledes adgang til toiletter i sommerperioden. Medbring selv brænde til pladsen. Tag dit affald med fra pladsen, idet der ikke er affaldsindsamling. Pladsen kan ikke reserveres.
56.376895594080715,9.357339962659927;Lille lejrplads Gammel Almind;Lille lejrplads Gammel Almind ved Hald Sø.\nLejrpladsen ligger øst for Hald Sø i et kuperet terræn. Pladsen ligger isoleret i et stort naturområde. Pladsen er alene beregnet til teltning, der er ingen shelters på pladsen. Adgangsvej: Offentlig parkering efter Gl. Almindvej 8, og herfra sti til pladsen.\nVand hentes fra kilde nær søbredden ved spejderhytten på naboarealet syd for pladsen.
56.39066187679129,9.336387689051312;Shelterpladsen ved Hald;Shelterplads med fire shelters og bålplads\nPladsen ligger ca. 300 meter fra Naturskolen og har fire shelters med plads til 6 personer i hver. Der er flere bålsteder og borde og bænke samt madpakkehus. Det er gratis for Viborg Kommunes kommunale skoler og institutioner at benytte shelterpladsen.\nShelterne skal bookes her: Forside - Book en shelter\nToiletter: Der er offentlige toiletter ved Naturskolen. Muldtoilet på shelterpladsen.\nBad: Der er ingen bademuligheder, men Hald Sø med dejligt vand ligger i nærheden.\nBrænde: Kan købes i Længen ved Naturskolen\nVand: Der er frostsikker vandhane på pladsen
56.39337980698855,9.336823152158013;Lille Lejrplads - Lille Traneskov;Lille lejrplads i Lille Traneskov tæt ved Hald Hovedgård\nPladsen er i den sydlige del af skoven tæt ved markkanten, her er plads til ca. 6 - 8 teltpladser. Se vandretursfolderen for Hald - Der ikke adgang til pladsen med bil. Der kan dog parkeres ved Hald Hovedgård, hvor der også er vand og wc.
56.43258898588639,9.437252696665748;Klostermarken shelter (bookbar);Shelter på Klostermarken tæt ved Viborg\nLejrpladsen rummer en shelter med plads til 5-6 personer. Kommer du i bil kan du parkere ved p-pladsen overfor Viborg Vandrerhjem og følge den røde vandrerute mod uret frem til pladsen - der er ca. 1,3 km. Du finder pladsen ved at følge stien fra indkørslen syd for Broddingbjerg ind til egeskoven. Her følger du stien ind i området. Der er ca. 800 meter ind til pladsen.
56.48067793566961,9.374661822540647;Shelterplads i Undallslund;Ved Naturskolen i Undallslund ligger fem shelters. De fire er placeret samlet og kan rumme en hel skoleklasse. En enkelt shelter er placeret lidt derfra og kan benyttes af f.eks. lærere eller en enkelt familie. Det er gratis for skoler og institutioner under Viborg Kommune at benytte shelterpladsen.\nShelterne skal bookes her: Forside - Book en shelter.\nToiletter: Brug det offentlige toilet med indgang i gavlen af Naturskolen.\nBad: Der er ingen bademuligheder.\nBrænde: Brænde til bål på lejrpladsen kan I sanke i skoven. Naturskolens brænde må kun bruges efter forudgående aftale
56.49803523062246,9.49505303140847;Shelterplads ved Rødding Sø;Primitiv shelterplads med udsigt over Rødding Sø\nLille plads med to shelters, borde/bænkesæt og bål-/grillplads. Adgang fra lille p-plads på Røddingvej. Pladsen kan ikke bookes, det er "først til mølle".
56.584167563877614,9.44084546927974;Lejrplads med 3 shelters og bålhus ved Skringstrup;Adgang fra P-plads og fra Himmerlandsstien\nPladsen inkluderer et handicapegnet muldtoilet og et større græsområde med mulighed for opsætning af telt. Pladsen og de tre shelters kan ikke bookes, det er "først til mølle". Himmerlandsstien R35\nHimmerlandsstien er 69 km lang og løber fra Løgstrup ved Viborg til Løgstør og er anlagt på den nedlagte banestrækning mellem Viborg og Løgstør.\nStien går gennem varierede og naturskønne landskaber, der veksler mellem bakkede morænelandskaber, heder, fjordnære engområder og store smeltevandsdale. En sådan natursti på en nedlagt jernbanestrækning er trafiksikker og har lave stigninger - et godt alternativ til cykelferien på landevejene.\nFolder og mere information om ruten kan findes her.
56.2561135,9.300367;Kompedal Plantage - Fri teltning;
56.3197286,9.2993007;Stendal Plantage - Fri teltning;
